date,IBM,AAPL,JPM,GS,HD,DIS,NKE,PG,V,RTX,CAT,PFE,UNH,WMT,VZ,WBA,MSFT,BA,AXP,MCD,CVX,MMM,INTC,KO,TRV,CSCO,JNJ,DD,MRK,XOM
2021-11-22,113.70445251464844,160.5791778564453,160.74676513671875,389.3863525390625,402.1246032714844,154.16000366210938,173.1025390625,145.2432098388672,194.89010620117188,85.80744171142578,199.05508422851562,50.0145378112793,433.28564453125,143.12359619140625,49.68864059448242,46.30366897583008,338.3407287597656,209.89999389648438,169.35581970214844,249.30621337890625,111.80668640136719,176.1597137451172,49.06543731689453,54.233177185058594,154.33692932128906,53.4300651550293,157.66822814941406,77.74762725830078,79.50899505615234,60.2187385559082
2021-11-23,114.01686096191406,160.96812438964844,164.59060668945312,399.3923034667969,401.71148681640625,151.02999877929688,171.02618408203125,146.85482788085938,197.7898406982422,86.31159973144531,201.95660400390625,49.89731979370117,442.78240966796875,144.1417999267578,49.89109802246094,46.37216567993164,336.2001647949219,209.1300048828125,169.30628967285156,251.4404754638672,114.15255737304688,175.96360778808594,48.34663009643555,54.634037017822266,157.67218017578125,54.11506652832031,158.64564514160156,78.03224182128906,80.63872528076172,61.80473327636719
2021-11-24,113.95829010009766,161.49667358398438,163.299560546875,392.36456298828125,405.3904724121094,151.33999633789062,170.906982421875,146.08834838867188,202.5330352783203,86.19297790527344,203.66802978515625,49.71171569824219,445.7829284667969,144.8634490966797,49.80432891845703,45.61870574951172,336.4291687011719,210.60000610351562,170.05943298339844,252.87643432617188,115.026123046875,174.1692657470703,48.99650573730469,54.194068908691406,156.4030303955078,54.34992599487305,158.2013702392578,77.23729705810547,80.13229370117188,62.14738845825195
2021-11-26,113.06012725830078,156.38070678710938,158.37982177734375,382.7321472167969,396.1339111328125,148.11000061035156,166.9231719970703,144.91891479492188,196.95278930664062,82.05088806152344,195.46502685546875,52.74971008300781,435.6325988769531,143.24220275878906,49.939300537109375,44.9141731262207,328.2352294921875,199.2100067138672,155.40304565429688,245.89332580566406,112.3956069946289,172.10035705566406,48.03153991699219,52.5319709777832,151.17877197265625,53.49856185913086,157.17459106445312,75.52963256835938,77.09373474121094,59.96419906616211
2021-11-29,115.68624877929688,159.8013153076172,157.69515991210938,379.93084716796875,400.1867370605469,147.80999755859375,168.7610626220703,146.44210815429688,195.5975799560547,81.9915771484375,192.70120239257812,51.1867561340332,447.6050109863281,140.99819946289062,49.80432891845703,45.09030532836914,335.15478515625,198.5,156.4336395263672,246.1785888671875,112.72932434082031,172.79652404785156,49.232826232910156,53.36301803588867,149.9390869140625,54.565208435058594,157.71759033203125,75.90403747558594,72.93519592285156,60.29706573486328
2021-11-30,114.31949615478516,164.84747314453125,155.34779357910156,374.4757385253906,394.0779724121094,144.89999389648438,168.13519287109375,142.07891845703125,193.08648681640625,79.99466705322266,190.17343139648438,52.4859619140625,439.90069580078125,139.02108764648438,48.464263916015625,43.83779525756836,329.1412353515625,197.85000610351562,150.9239044189453,241.90615844726562,110.785888671875,166.72711181640625,48.445098876953125,51.678184509277344,144.57711791992188,53.66492462158203,153.94619750976562,72.86945343017578,72.95467376708984,58.58380126953125
2021-12-01,114.14376831054688,164.3189239501953,154.4283905029297,371.99566650390625,395.5201416015625,142.14999389648438,165.6117706298828,143.86741638183594,189.48922729492188,78.14605712890625,188.32431030273438,53.41396713256836,440.0195007324219,135.57098388671875,47.98221969604492,42.78099060058594,328.63348388671875,188.19000244140625,148.70411682128906,241.49075317382812,110.03010559082031,167.4036865234375,47.854305267333984,51.530391693115234,143.13082885742188,53.85084915161133,156.06884765625,72.70195007324219,72.49694061279297,58.53485107421875
2021-12-02,114.1242446899414,163.31167602539062,157.67562866210938,382.9239196777344,402.78021240234375,147.1999969482422,168.89022827148438,144.71253967285156,197.5905303955078,80.7262191772461,193.55690002441406,51.81193923950195,441.68316650390625,133.92010498046875,48.907737731933594,43.661659240722656,328.0460510253906,202.3800048828125,155.353515625,246.0598907470703,113.01397705078125,166.94284057617188,48.74049758911133,52.289058685302734,147.7352752685547,54.94685363769531,155.0914306640625,74.16998291015625,71.96128845214844,59.99357223510742
2021-12-03,116.01818084716797,161.3969268798828,154.8196258544922,378.17120361328125,402.8197021484375,146.22000122070312,169.43264770507812,147.28721618652344,195.62750244140625,80.1824951171875,194.55032348632812,53.013458251953125,446.40234375,135.936767578125,49.57295227050781,45.5306396484375,321.594482421875,198.49000549316406,154.531005859375,246.5840606689453,112.29745483398438,169.22743225097656,48.49433135986328,52.75214385986328,146.75143432617188,55.02513885498047,157.35231018066406,74.3670425415039,71.42565155029297,59.61175537109375
2021-12-06,117.06278228759766,164.86741638183594,156.6486358642578,384.6629333496094,410.6131896972656,150.3699951171875,168.10894775390625,149.5179443359375,201.9650421142578,82.80220031738281,197.97315979003906,50.288055419921875,457.12225341796875,137.4097137451172,49.23552703857422,47.26261901855469,324.7605285644531,205.8800048828125,159.22816467285156,252.972900390625,114.05439758300781,173.7476348876953,50.207637786865234,54.10198211669922,149.3684844970703,55.73949432373047,160.86700439453125,75.26361083984375,71.50355529785156,60.28727340698242
